BHF;EBHF;EVA;EPA;Vbd
80 Deutschland;1408001;0;0;
80 Germany;1408000;0;0;
Aachen(Gem);8040067;0;0;
Aachen Hbf;8000001;8000001;8052101;AVV
Aachen-Rothe Erde;8000406;8000406;0;AVV
Aachen Schanz;8000405;8070704;0;AVV
Aachen Süd(Gr);8000403;8000403;0;AVV
Aachen Sued(Gr);8800452;0;0;
Aachen West;8000404;8000404;8052103;AVV
Aadorf;8589505;8506013;0;
Aadorf, Bahnhof;8538879;8573363;0;
Aadorf, Zentrum;8542726;8573362;0;
Aakarp station;7455859;7400304;0;
Aal;7602317;7600372;7602317;
Aalbaek;8604119;0;0;
Aalbaek st;8661609;8600038;0;
Aalborg;8600020;0;0;
Aalborg st;8650004;8600004;8600020;
Aalborg Vestby;8600117;0;0;
Aalborg Vestby st;8663662;8613637;0;
Aalen Hbf;8000002;8000002;8073104;
Aalen(N);7646646;7600221;0;
Aalholm st;8663711;8613685;0;
Aalsgaarde st;8650057;8600057;0;
Aalst;8895000;8800351;0;
Aalst Kerrebroek;8895125;8800604;0;
Aalst Zone;8893112;0;0;
Aalten;8400045;8400045;0;
Aalter;8891140;8800300;0;
Aamaal Station;7422536;7400033;7400076;
Aamarken;8600763;0;0;
Aamarken st;8650069;8600069;0;
Aamotfors station;7493459;7400273;7400307;
Aandalsnes;7600810;7600006;7600810;
Aaneby;7666566;7600164;0;
Aange station;7430536;7400034;7400105;
Aann station;7489379;7400219;7400037;
Aarau;8502113;8502113;8500375;
Aarberg;8533441;8504404;0;
Aarburg-Oftringen;8541441;8502000;0;
Aare station;7446536;7400036;7400115;
Aarhus;8600053;8600087;8600053;
Aarnes;7600311;7600104;0;
Aarschot;8833209;8800032;0;
Aarsele;8892288;8800594;0;
Aarslev;8600561;0;0;
Aarslev st;8674409;8600099;0;
Aarup;8600506;0;0;
Aarup st;8627209;8600103;0;
Aarwangen;8534305;8508153;0;
Aarwangen Schloss;8542305;8508154;0;
Aas;7600510;0;0;
Aasa Station;7454746;7404746;0;
Aasen(N);7673046;7600254;7601303;
Aas(N);7650165;7600165;0;
Aastorp Station;7460936;7400018;7400155;
Aathal;8550305;8503124;0;
Aatvidaberg station;7450454;7400454;7400338;
Abadan;2922103;2900059;2900882;
Abadszalok;5559288;5500145;0;
Abakan;2088800;2000261;2038230;
Abakumovka;2051944;2003489;0;
Abaliget;5567288;5500146;0;
Abancourt;8731375;8700251;8700885;
Abano;8305700;0;0;
Abano Terme;8358798;8300556;8300477;
Aba-Sarker;5504135;0;0;
Aba-Sarkeresztur;5551288;5500144;0;
Abaujker;5583288;5500148;0;
Abaujszanto;5513300;5500150;0;
Abaujszantoi fürdö;5591288;5500149;0;
Abbadia Lariana;8383001;8301119;0;
Abbasanta;8376478;8300805;0;
Abbeville;8731736;8700238;8700848;
Abbiategrasso;8301062;8301104;0;
Abcoude;8400047;8400047;0;
Abda;5501305;5500151;0;
Abdulino;2062103;2000262;2024670;
Abendakademie, Mannh;508167;508167;0;
Abenden;8000411;8007826;0;
Abensberg;8000410;8000410;0;
Aberdeen;7089760;7000011;7000001;
Abererch;7044400;7000015;0;
Abergele & Pensarn;7050017;7000017;7000251;
Aberystwyth;7043030;7000021;0;
Abfaltersbach;8103877;8100204;0;
Abfaltersbach/Drau B;8177048;8177048;0;
Abinskaya;2078103;2000264;2064181;
Abisko Ostra;7400106;0;0;
Abisko Östra Station;7450030;7400030;7400151;
Abisko Turist;7400105;0;0;
Abisko Turiststation;7479779;7400196;7400114;
Ablanica;5250302;5200302;0;
Ablon;8723666;8702615;0;
Aboncourt;8772057;8700566;0;
Abony;5513730;5500152;5513730;
Abonyi ut;5536168;5500153;0;
Abrahamhegy;5544168;5500154;0;
Abrantes;9452001;9400005;9400707;
Abrosovo;2027552;2003986;0;
Abrunhosa;9486747;9400087;0;
Absdorf-Hippersd.;8102423;0;0;
Absdorf-Hippersdorf;8171236;8171236;0;
